Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      5.56     0.00     1756     0.00     0.00  std::move_iterator<Sequence*>::base() const
  0.00      5.56     0.00     1654     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >::base() const
  0.00      5.56     0.00     1619     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::~new_allocator()
  0.00      5.56     0.00     1619     0.00     0.00  std::allocator<Sequence>::~allocator()
  0.00      5.56     0.00     1526     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::__normal_iterator(Sequence const* const&)
  0.00      5.56     0.00     1518     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >::__normal_iterator(Sequence* const&)
  0.00      5.56     0.00     1473     0.00     0.00  bool __gnu_cxx::operator!=<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > const&, __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > const&)
  0.00      5.56     0.00     1421     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::new_allocator(__gnu_cxx::new_allocator<Sequence> const&)
  0.00      5.56     0.00     1421     0.00     0.00  std::allocator<Sequence>::allocator(std::allocator<Sequence> const&)
  0.00      5.56     0.00     1275     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Sequence*>(Sequence*, Sequence*)
  0.00      5.56     0.00     1275     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_deallocate(Sequence*, unsigned long)
  0.00      5.56     0.00     1275     0.00     0.00  void std::_Destroy<Sequence*>(Sequence*, Sequence*)
  0.00      5.56     0.00     1275     0.00     0.00  void std::_Destroy<Sequence*, Sequence>(Sequence*, Sequence*, std::allocator<Sequence>&)
  0.00      5.56     0.00     1266     0.00     0.00  void std::_Construct<Sequence, Sequence const&>(Sequence*, Sequence const&)
