Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_create_storage(unsigned long)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      2.62     0.00     3355     0.00     0.00  void std::__uninitialized_fill_n<true>::__uninit_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      2.62     0.00     3355     0.00     0.00  std::vector<int, std::allocator<int> >::_M_fill_initialize(unsigned long, int const&)
  0.00      2.62     0.00     3355     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      2.62     0.00     3355     0.00     0.00  void std::uninitialized_fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      2.62     0.00     3355     0.00     0.00  void std::__uninitialized_fill_n_a<int*, unsigned long, int, int>(int*, unsigned long, int const&, std::allocator<int>&)
  0.00      2.62     0.00     3355     0.00     0.00  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  0.00      2.62     0.00     3355     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      2.62     0.00     3355     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      2.62     0.00     3316     0.00     0.00  calculate_similarity(std::string, std::string)
  0.00      2.62     0.00     3316     0.00     0.00  run_pairwise_alignment(Sequence&, Sequence&, bool)
  0.00      2.62     0.00     3160     0.00     0.00  void std::_Destroy<Sequence>(Sequence*)
  0.00      2.62     0.00     2096     0.00     0.00  std::move_iterator<Sequence*>::base() const
  0.00      2.62     0.00     1780     0.00     0.00  bool __gnu_cxx::operator!=<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >(__gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > const&, __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > > const&)
  0.00      2.62     0.00     1765     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >::base() const
  0.00      2.62     0.00     1727     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::~new_allocator()
  0.00      2.62     0.00     1727     0.00     0.00  std::allocator<Sequence>::~allocator()
  0.00      2.62     0.00     1580     0.00     0.00  void std::_Construct<Sequence, Sequence const&>(Sequence*, Sequence const&)
  0.00      2.62     0.00     1530     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::operator++()
  0.00      2.62     0.00     1530     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::operator*() const
  0.00      2.62     0.00     1529     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::new_allocator(__gnu_cxx::new_allocator<Sequence> const&)
  0.00      2.62     0.00     1529     0.00     0.00  std::allocator<Sequence>::allocator(std::allocator<Sequence> const&)
  0.00      2.62     0.00     1344     0.00     0.00  std::remove_reference<std::vector<Sequence, std::allocator<Sequence> >&>::type&& std::move<std::vector<Sequence, std::allocator<Sequence> >&>(std::vector<Sequence, std::allocator<Sequence> >&)
  0.00      2.62     0.00     1334     0.00     0.00  void std::_Destroy_aux<false>::__destroy<Sequence*>(Sequence*, Sequence*)
  0.00      2.62     0.00     1334     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_deallocate(Sequence*, unsigned long)
  0.00      2.62     0.00     1334     0.00     0.00  void std::_Destroy<Sequence*>(Sequence*, Sequence*)
  0.00      2.62     0.00     1334     0.00     0.00  void std::_Destroy<Sequence*, Sequence>(Sequence*, Sequence*, std::allocator<Sequence>&)
  0.00      2.62     0.00     1322     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence const*, std::vector<Sequence, std::allocator<Sequence> > >::__normal_iterator(Sequence const* const&)
  0.00      2.62     0.00     1281     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::_M_swap_data(std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl&)
  0.00      2.62     0.00     1233     0.00     0.00  __gnu_cxx::__normal_iterator<Sequence*, std::vector<Sequence, std::allocator<Sequence> > >::__normal_iterator(Sequence* const&)
  0.00      2.62     0.00     1172     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00      2.62     0.00     1136     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_M_get_Tp_allocator() const
  0.00      2.62     0.00     1048     0.00     0.00  bool std::operator==<Sequence*>(std::move_iterator<Sequence*> const&, std::move_iterator<Sequence*> const&)
  0.00      2.62     0.00     1048     0.00     0.00  bool std::operator!=<Sequence*>(std::move_iterator<Sequence*> const&, std::move_iterator<Sequence*> const&)
  0.00      2.62     0.00      969     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::_Vector_impl::~_Vector_impl()
  0.00      2.62     0.00      969     0.00     0.00  std::_Vector_base<Sequence, std::allocator<Sequence> >::~_Vector_base()
  0.00      2.62     0.00      969     0.00     0.00  std::vector<Sequence, std::allocator<Sequence> >::~vector()
  0.00      2.62     0.00      942     0.00     0.00  __gnu_cxx::new_allocator<Sequence>::max_size() const
  0.00      2.62     0.00      834     0.00     0.00  Sequence::Sequence(Sequence&&)
  0.00      2.62     0.00      834     0.00     0.00  std::move_iterator<Sequence*>::operator*() const
  0.00      2.62     0.00      834     0.00     0.00  std::move_iterator<Sequence*>::operator++()
  0.00      2.62     0.00      834     0.00     0.00  _ZSt10_ConstructI8SequenceIS0_EEvPT_DpOT0_
  0.00      2.62     0.00      834     0.00     0.00  std::remove_reference<Sequence&>::type&& std::move<Sequence&>(Sequence&)
  0.00      2.62     0.00      834     0.00     0.00  Sequence&& std::forward<Sequence>(std::remove_reference<Sequence>::type&)
